Sampe-ID,Mg Concentration,Mg Error 1s,Al Concentration,Al Error 1s,Si Concentration,Si Error 1s,P Concentration,P Error 1s,S Concentration,S Error 1s,K Concentration,K Error 1s,Ca Concentration,Ca Error 1s,Ti Concentration,Ti Error 1s,V Concentration,V Error 1s,Cr Concentration,Cr Error 1s,Mn Concentration,Mn Error 1s,Fe Concentration,Fe Error 1s,Co Concentration,Co Error 1s,Ni Concentration,Ni Error 1s,Cu Concentration,Cu Error 1s,Zn Concentration,Zn Error 1s,As Concentration,As Error 1s,Se Concentration,Se Error 1s,Rb Concentration,Rb Error 1s,Sr Concentration,Sr Error 1s,Y Concentration,Y Error 1s,Zr Concentration,Zr Error 1s,Nb Concentration,Nb Error 1s,Mo Concentration,Mo Error 1s,Ag Concentration,Ag Error 1s,Cd Concentration,Cd Error 1s,Sn Concentration,Sn Error 1s,Sb Concentration,Sb Error 1s,Ba Concentration,Ba Error 1s,La Concentration,La Error 1s,Ce Concentration,Ce Error 1s,Pr Concentration,Pr Error 1s,Nd Concentration,Nd Error 1s,Ta Concentration,Ta Error 1s,W Concentration,W Error 1s,Au Concentration,Au Error 1s,Hg Concentration,Hg Error 1s,Pb Concentration,Pb Error 1s,Bi Concentration,Bi Error 1s,Th Concentration,Th Error 1s,U Concentration,U Error 1s,LE Concentration,LE Error 1s
CR_MC45_1-2cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7398,3953,278,3435,71,642882,3473,592,10,41,1,0,7,1060,9,9441,80,0,44,0,19,44,4,27,2,9,1,0,2,16,1,2894,86,20,5,0,36,0,7,0,13,0,14,0,17,0,34,0,36,487,39,0,198,0,361,0,473,0,1232,0,74,0,17,0,5,0,6,14,2,0,17,0,40,0,34,NaN,NaN
CR_MC45_2-3cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7772,3589,289,3603,75,672461,3750,654,11,47,2,9,2,1103,10,11549,102,0,54,34,7,47,4,36,3,9,2,0,2,17,1,3361,116,19,6,0,47,0,9,0,18,0,18,0,21,0,39,0,41,346,44,0,235,0,419,0,553,0,1466,0,110,0,19,0,6,0,7,21,2,0,19,0,55,0,44,NaN,NaN
CR_MC59_0-1cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7123,4477,273,3895,72,598055,3213,977,13,41,2,8,2,376,5,10705,87,62,16,0,18,26,3,30,2,6,1,0,2,20,1,2796,82,19,5,64,13,0,7,0,13,0,15,0,17,0,33,0,35,435,37,0,196,0,350,0,462,0,1197,0,81,0,17,0,5,0,6,8,2,0,17,0,44,0,34,NaN,NaN
CR_MC59_1-2cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7226,3835,273,3944,73,616354,3334,980,13,39,2,8,2,391,5,10800,86,0,46,0,17,29,3,24,2,0,3,0,2,14,1,2467,68,12,4,64,11,0,7,0,11,0,13,0,15,0,29,0,31,424,35,0,185,0,332,0,435,0,1141,0,68,0,17,0,5,0,6,10,2,0,16,0,38,0,27,NaN,NaN
CR_MC59_2-3cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7167,3595,270,3544,70,620818,3332,1038,13,43,2,0,7,380,5,10696,86,0,46,0,18,31,3,27,2,5,1,0,2,14,1,2689,76,17,4,49,11,0,7,0,13,0,13,0,16,0,30,0,32,442,36,0,186,0,335,0,439,0,1153,0,65,0,16,0,5,0,6,9,2,0,17,0,38,0,34,NaN,NaN
CR_MC60_0-1cm,NaN,NaN,NaN,NaN,NaN,NaN,0,6825,4295,263,3602,69,574443,3031,1251,14,34,2,0,7,350,5,13525,99,70,17,0,17,25,3,29,2,5,1,0,2,17,1,2429,69,21,4,82,12,0,8,0,12,0,13,0,16,0,31,0,33,354,35,200,64,0,346,0,449,0,1172,0,70,0,16,0,5,0,6,7,1,0,16,0,37,0,30,NaN,NaN
CR_MC60_1-2cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7613,4210,288,3886,76,624140,3506,1361,16,41,2,0,7,405,6,15366,121,64,20,0,19,28,3,32,3,0,4,0,2,17,1,2165,65,13,4,66,11,0,7,0,12,0,13,0,17,0,32,0,34,344,36,0,192,0,345,0,456,0,1212,0,79,0,18,0,5,0,7,8,2,0,18,0,39,0,29,NaN,NaN
CR_MC60_2-3cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7079,3430,265,3640,70,588176,3162,1377,16,41,2,0,7,428,5,14938,108,0,53,0,17,27,3,31,2,4,1,0,2,14,1,2307,63,15,4,59,11,0,7,0,11,0,12,0,16,0,30,0,30,357,32,0,177,0,319,0,410,0,1103,0,71,0,16,0,5,0,6,8,2,0,16,0,39,0,28,NaN,NaN
CR_MC65_0-1cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7387,3423,273,3502,71,627189,3403,880,12,43,2,0,6,436,5,10107,84,0,46,0,17,36,3,28,2,6,1,0,2,17,1,3110,93,0,13,75,14,0,8,0,14,0,15,0,18,0,33,0,36,461,40,0,207,0,375,0,493,0,1278,0,83,0,17,0,5,0,6,9,2,0,17,0,46,0,35,NaN,NaN
CR_MC65_1-2cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7559,2897,278,3943,75,661926,3630,979,13,45,2,0,7,462,6,11981,99,0,52,0,19,42,4,29,3,8,1,0,2,15,1,3089,98,23,5,71,14,0,8,0,15,0,16,0,20,0,36,0,38,501,42,0,219,0,389,0,517,0,1366,0,80,0,19,0,6,0,7,6,2,0,18,0,46,0,35,NaN,NaN
