Sampe-ID,Mg Concentration,Mg Error 1s,Al Concentration,Al Error 1s,Si Concentration,Si Error 1s,P Concentration,P Error 1s,S Concentration,S Error 1s,K Concentration,K Error 1s,Ca Concentration,Ca Error 1s,Ti Concentration,Ti Error 1s,V Concentration,V Error 1s,Cr Concentration,Cr Error 1s,Mn Concentration,Mn Error 1s,Fe Concentration,Fe Error 1s,Co Concentration,Co Error 1s,Ni Concentration,Ni Error 1s,Cu Concentration,Cu Error 1s,Zn Concentration,Zn Error 1s,As Concentration,As Error 1s,Se Concentration,Se Error 1s,Rb Concentration,Rb Error 1s,Sr Concentration,Sr Error 1s,Y Concentration,Y Error 1s,Zr Concentration,Zr Error 1s,Nb Concentration,Nb Error 1s,Mo Concentration,Mo Error 1s,Ag Concentration,Ag Error 1s,Cd Concentration,Cd Error 1s,Sn Concentration,Sn Error 1s,Sb Concentration,Sb Error 1s,Ba Concentration,Ba Error 1s,La Concentration,La Error 1s,Ce Concentration,Ce Error 1s,Pr Concentration,Pr Error 1s,Nd Concentration,Nd Error 1s,Ta Concentration,Ta Error 1s,W Concentration,W Error 1s,Au Concentration,Au Error 1s,Hg Concentration,Hg Error 1s,Pb Concentration,Pb Error 1s,Bi Concentration,Bi Error 1s,Th Concentration,Th Error 1s,U Concentration,U Error 1s,LE Concentration,LE Error 1s
CR_MC32_1-2cm,0,6335,3252,391,19476,181,0,276,979,25,519,25,364473,1205,703,70,0,86,0,144,794,24,5622,50,0,193,0,95,41,4,21,2,4,1,0,22,12,1,1526,7,15,1,42,2,9,1,13,2,0,1028,0,1206,0,1849,0,2369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,387,0,173,0,185,10,2,0,600,39,4,0,390,602451,1328
CR_MC32_2-3cm,0,6289,3330,400,20031,186,0,286,963,26,520,25,381124,1263,631,71,33,11,0,151,848,25,6222,54,0,209,0,102,49,4,22,2,0,41,0,24,11,1,1534,7,14,1,31,2,11,1,18,2,0,1044,0,1214,0,1853,0,2380,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,389,0,164,0,192,15,2,0,625,48,5,0,408,584545,1387
CR_MC36_0-1cm,0,6556,3164,419,15563,173,216,60,1196,28,316,26,402360,1370,543,73,38,12,0,150,1117,30,5721,54,0,213,20,6,41,4,23,2,6,1,0,25,15,1,1672,8,16,1,32,2,13,1,17,2,0,1093,0,1277,0,1938,0,2470,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,433,0,188,0,204,14,2,0,666,48,5,0,441,567849,1479
CR_MC36_1-2cm,0,6296,3189,416,14664,167,0,288,1005,27,289,26,415723,1390,566,74,0,93,0,159,1079,30,5481,53,0,206,19,6,45,4,18,2,6,1,0,26,13,1,1670,8,17,1,34,2,11,1,17,2,0,1092,0,1270,0,1910,0,2443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,431,0,180,0,213,14,2,0,679,60,5,0,441,556082,1491
CR_MC36_2-3cm,0,7045,1969,398,14629,165,0,279,925,26,279,25,394880,1335,398,69,40,11,0,160,1029,28,5123,50,0,197,0,106,38,4,19,2,4,1,0,24,13,1,1636,8,15,1,32,2,14,1,18,2,0,1083,0,1265,0,1937,0,2481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,424,0,179,0,208,12,2,0,660,59,5,0,421,578869,1433
CR_MC38_0-1cm,11871,3633,2483,424,14168,176,0,281,1036,28,0,222,426005,2105,510,74,42,12,0,166,976,29,5400,57,0,211,32,7,42,4,21,2,5,1,0,25,12,1,1551,10,16,1,29,2,12,1,18,2,0,1121,0,1297,0,1966,0,2505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,445,0,192,0,211,12,2,0,691,59,5,0,454,535698,2497
CR_MC38_1-2cm,0,6599,2696,416,14329,167,0,285,1052,27,301,26,397857,1368,360,69,53,12,0,159,1015,29,5383,53,0,209,0,109,38,4,18,2,4,1,0,26,12,1,1661,8,17,1,36,2,13,1,14,2,0,1099,0,1278,0,1928,0,2466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,423,0,182,0,206,13,2,0,665,44,5,0,445,575082,1471
CR_MC38_2-3cm,11686,3442,2328,401,13677,167,0,279,923,26,216,25,382794,1839,605,71,56,11,0,139,877,26,4927,51,0,193,0,104,34,4,15,2,0,41,0,23,10,1,1571,9,15,1,31,2,11,1,19,2,0,1064,0,1243,0,1902,0,2438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,414,0,179,0,191,13,2,0,630,42,5,0,420,580147,2457
CR_MC43_0-1cm,0,6647,3105,415,13677,162,0,284,1235,27,148,25,390844,1323,688,74,0,92,0,149,1183,30,7199,60,0,231,22,6,26,4,22,2,5,1,0,24,13,1,1499,7,16,1,36,2,13,1,15,2,0,1062,0,1234,0,1884,0,2392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,409,0,178,7,2,13,2,0,635,43,5,0,414,580191,1432
CR_MC43_1-2cm,0,6696,2667,441,14870,176,0,283,1195,29,207,28,454889,1523,963,88,69,14,0,172,1710,39,9275,75,0,286,38,7,43,4,29,3,6,1,0,26,11,1,1610,8,22,1,27,2,16,2,20,2,0,1136,0,1318,0,1966,0,2518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,458,0,185,0,235,15,2,0,717,55,5,9,3,512257,1633
CR_MC43_2-3cm,0,6486,2893,400,13299,157,0,291,1059,26,122,24,370702,1255,1012,77,0,91,0,147,1228,29,7363,59,0,226,26,6,26,3,25,2,7,1,0,23,11,1,1512,7,15,1,35,2,11,1,14,2,0,1050,0,1233,0,1898,0,2438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,409,0,172,0,193,13,2,0,614,44,5,0,391,600584,1365
CR_MC45_0-1cm,11531,3700,4402,446,21102,217,310,63,1536,31,533,28,395338,1988,1117,86,61,13,0,159,1952,40,12001,95,0,297,0,109,45,4,38,3,9,1,0,27,20,1,1689,10,20,1,39,2,15,1,20,2,0,1060,0,1235,0,1845,0,2352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,427,0,177,0,211,24,2,0,664,52,5,0,436,548147,2555
